127.0.0.1 - - [04/Sep/2023:23:30:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:30:57 +0530] "GET /crud_application/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:30:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:31:23 +0530] "GET /crud_application/student/fetch/std101 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:31:32 +0530] "GET /crud_application/student/fetch HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:33:46 +0530] "GET /crud_application/student/fetch HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:33:57 +0530] "GET /crud_application/student/fetch/std101 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:37:21 +0530] "PUT /crud_application/student/update HTTP/1.1" 415 722
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:37:43 +0530] "PUT /crud_application/student/update HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:37:57 +0530] "PUT /crud_application/student/update HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:38:09 +0530] "PUT /crud_application/student/fetch HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:38:16 +0530] "GET /crud_application/student/fetch HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:38:26 +0530] "GET /crud_application/student/fetch HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:49:15 +0530] "GET /crud_application/student/fetch HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:49:22 +0530] "GET /crud_application/student/fetch/std101 HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:49:54 +0530] "DELETE /crud_application/student/delete/std102 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:51:26 +0530] "DELETE /crud_application/student/delete/std101 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:52:12 +0530] "GET /crud_application/student/fetch/std101 HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:52:33 +0530] "DELETE /crud_application/student/delete/std101 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:53:34 +0530] "DELETE /crud_application/student/delete/std101 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:56:12 +0530] "GET /crud_application/student/fetch/std101 HTTP/1.1" 500 3574
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:56:21 +0530] "GET /crud_application/student/fetch HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:58:35 +0530] "POST /crud_application/student/insert HTTP/1.1" 201 40
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:58:50 +0530] "POST /crud_application/student/delete/std102 HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [04/Sep/2023:23:58:56 +0530] "DELETE /crud_application/student/delete/std102 HTTP/1.1" 200 -
